"","variable","n.trt","inoc","emmean","SE","df","lower.CL","upper.CL",".group","compact"
"29","ci.ca","HN","YI",0.652260846780179,0.0215377208674573,23.6743950994964,0.607776800564642,0.696744892995716," A","A"
"30","ci.ca","HN","NI",0.662191771659742,0.0215377208674573,23.6743950994964,0.617707725444204,0.706675817875279," A","A"
"31","ci.ca","LN","NI",0.708357869024195,0.0222251190104605,25.4815641966329,0.662628202680136,0.754087535368254," A","A"
"32","ci.ca","LN","YI",0.713536609110793,0.0215377208674573,23.6743950994963,0.669052562895256,0.75802065532633," A","A"
"33","iwue","LN","YI",4.07577282609908,0.0812444998864025,23.2234609212846,3.90779521255625,4.2437504396419," A"," A"
"34","iwue","LN","NI",4.11538838080833,0.0812444998864025,23.2234609212846,3.94741076726551,4.28336599435116," A"," A"
"35","iwue","HN","NI",4.2964704125349,0.0812444998864024,23.223460921284,4.12849279899208,4.46444802607773," A"," A"
"36","iwue","HN","YI",4.30438246230313,0.0812444998864025,23.2234609212847,4.13640484876031,4.47236007584596," A"," A"
"37","vcmax.gs","LN","YI",5.93639484168094,0.0998022016370774,32.5714285714286,5.73324419157411,6.13954549178777," A"," A"
"38","vcmax.gs","LN","NI",6.02484818649477,0.0998022016370773,32.5714285714285,5.82169753638795,6.2279988366016," A"," A"
"39","vcmax.gs","HN","YI",6.27136379914911,0.0998022016370773,32.5714285714285,6.06821314904228,6.47451444925593," A"," A"
"40","vcmax.gs","HN","NI",6.30133266895334,0.0998022016370775,32.571428571429,6.09818201884651,6.50448331906016," A"," A"
"41","sla","LN","NI",5.24941774162067,0.145545025842314,20.8407184991908,4.94659937227007,5.55223611097128,"A","A"
"42","sla","HN","NI",5.63210196948603,0.145545025842314,20.8407184991908,5.32928360013542,5.93492033883663,"AB","AB"
"43","sla","LN","YI",5.74684389842949,0.145545025842314,20.8407184991907,5.44402552907888,6.04966226778009,"AB","AB"
"44","sla","HN","YI",5.82428720368832,0.145545025842314,20.8407184991907,5.52146883433771,6.12710557303892,"B","B"
"45","focal.area","LN","NI",38.2281875,1.8260517402136,24.8402444914272,34.466136741316,41.990238258684,"A","A"
"46","focal.area","LN","YI",45.813375,1.8260517402136,24.8402444914271,42.051324241316,49.575425758684,"B","B"
"47","focal.area","HN","NI",51.1067500000001,1.8260517402136,24.8402444914273,47.344699241316,54.8688007586841,"BC","BC"
"48","focal.area","HN","YI",55.7825,1.8260517402136,24.8402444914272,52.020449241316,59.544550758684,"C","C"
"49","focal.biomass","LN","NI",0.0730875,0.00444136786675321,19.1417291222505,0.0637962665384332,0.0823787334615668,"A","A"
"50","focal.biomass","LN","YI",0.0803625,0.00444136786675321,19.1417291222504,0.0710712665384332,0.0896537334615668,"AB","AB"
"51","focal.biomass","HN","NI",0.09169375,0.00444136786675321,19.1417291222506,0.0824025165384332,0.100984983461567,"BC","BC"
"52","focal.biomass","HN","YI",0.097625,0.00444136786675321,19.1417291222504,0.0883337665384332,0.106916233461567,"C","C"
